name,currency_code,local_price,dollar_ex,date
United Arab Emirates,AED,18.0,3.67305,2023-07-01
Argentina,ARS,1650.0,275.275,2023-07-01
Australia,AUD,7.45,1.48400979446464,2023-07-01
Austria,EUR,4.81,0.90699,2023-07-01
Azerbaijan,AZN,5.95,1.7025,2023-07-01
Belgium,EUR,4.9,0.90699,2023-07-01
Bahrain,BHD,1.7,0.37695,2023-07-01
Brazil,BRL,22.9,4.75705,2023-07-01
Canada,CAD,7.05,1.31625,2023-07-01
Switzerland,CHF,6.7,0.86685,2023-07-01
Chile,CLP,3900.0,839.505,2023-07-01
China,CNY,25.0,7.14355,2023-07-01
Colombia,COP,18900.0,3882.915,2023-07-01
Costa Rica,CRC,2950.0,544.875,2023-07-01
Czech Republic,CZK,105.0,21.6516,2023-07-01
Germany,EUR,5.34,0.90699,2023-07-01
Denmark,DKK,38.2,6.7593,2023-07-01
Egypt,EGP,81.0,30.925,2023-07-01
Spain,EUR,5.2,0.90699,2023-07-01
Estonia,EUR,4.45,0.90699,2023-07-01
Euro area,EUR,5.28,0.90699,2023-07-01
Finland,EUR,5.95,0.90699,2023-07-01
France,EUR,5.3,0.90699,2023-07-01
Britain,GBP,4.19,0.77721,2023-07-01
Greece,EUR,4.7,0.90699,2023-07-01
Guatemala,GTQ,29.0,7.8689,2023-07-01
Hong Kong,HKD,23.0,7.7987,2023-07-01
Honduras,HNL,102.0,24.62,2023-07-01
Croatia,EUR,4.09,0.90699,2023-07-01
Hungary,HUF,1400.0,351.0725,2023-07-01
Indonesia,IDR,38000.0,15080.0,2023-07-01
India,INR,209.0,82.2488,2023-07-01
Ireland,EUR,5.1,0.90699,2023-07-01
Israel,ILS,17.0,3.66365,2023-07-01
Italy,EUR,5.8,0.90699,2023-07-01
Jordan,JOD,2.5,0.70895,2023-07-01
Japan,JPY,450.0,142.08,2023-07-01
South Korea,KRW,5200.0,1274.65,2023-07-01
Kuwait,KWD,1.4,0.3071,2023-07-01
Lebanon,LBP,430000.0,85500.0,2023-07-01
Sri Lanka,LKR,1820.0,327.5,2023-07-01
Lithuania,EUR,3.85,0.90699,2023-07-01
Latvia,EUR,3.7,0.90699,2023-07-01
Moldova,MDL,63.0,17.665,2023-07-01
Mexico,MXN,89.0,16.7025,2023-07-01
Malaysia,MYR,13.15,4.509,2023-07-01
Nicaragua,NIO,159.0,36.55,2023-07-01
Netherlands,EUR,5.33,0.90699,2023-07-01
Norway,NOK,70.0,10.1165,2023-07-01
New Zealand,NZD,8.1,1.60681288663935,2023-07-01
Oman,OMR,1.42,0.38505,2023-07-01
Pakistan,PKR,985.0,286.25,2023-07-01
Peru,PEN,14.9,3.60375,2023-07-01
Philippines,PHP,155.0,54.925,2023-07-01
Poland,PLN,19.9,3.9946,2023-07-01
Portugal,EUR,4.9,0.90699,2023-07-01
Qatar,QAR,14.0,3.64,2023-07-01
Romania,RON,14.5,4.4761,2023-07-01
Saudi Arabia,SAR,19.0,3.7516,2023-07-01
Singapore,SGD,6.45,1.3278,2023-07-01
Slovakia,EUR,4.3,0.90699,2023-07-01
Slovenia,EUR,3.6,0.90699,2023-07-01
Sweden,SEK,60.27,10.5075,2023-07-01
Thailand,THB,128.0,34.22875,2023-07-01
Turkey,TRY,95.0,26.92675,2023-07-01
Taiwan,TWD,75.0,31.4265,2023-07-01
Ukraine,UAH,105.0,36.93145,2023-07-01
Uruguay,UYU,259.0,37.765,2023-07-01
United States,USD,5.58,1.0,2023-07-01
Vietnam,VND,74000.0,23687.5,2023-07-01
South Africa,ZAR,49.9,17.78375,2023-07-01
